start_s,end_s,class,mean_confidence
1400.0,1410.0,silence,0.7059
1410.0,1425.0,other,0.5145
1425.0,1430.0,silence,0.7705
1430.0,1435.0,other,0.5573
1435.0,1440.0,silence,0.5294
1440.0,1455.0,other,0.5731
1455.0,1465.0,silence,0.5272
1465.0,1470.0,other,0.6375
1470.0,1490.0,silence,0.6577
1490.0,1500.0,other,0.581
1500.0,1505.0,silence,0.6135
1505.0,1510.0,other,0.5037
1510.0,1515.0,silence,0.5397
1515.0,1525.0,other,0.6684
1525.0,1550.0,silence,0.6541
1550.0,1560.0,other,0.5605
1560.0,1565.0,silence,0.6661
1565.0,1570.0,other,0.5115
1570.0,1580.0,silence,0.6294
1580.0,1585.0,other,0.6543
1585.0,1595.0,silence,0.5271
1595.0,1600.0,other,0.5118
1600.0,1610.0,silence,0.6746
1610.0,1615.0,other,0.8448
1615.0,1620.0,silence,0.6751
1620.0,1625.0,other,0.569
1625.0,1635.0,silence,0.7077
1635.0,1645.0,other,0.5098
1645.0,1660.0,silence,0.6761
1660.0,1665.0,other,0.5856
1665.0,1670.0,silence,0.6092
1670.0,1680.0,other,0.6805
1680.0,1685.0,silence,0.661
1685.0,1690.0,other,0.6795
1690.0,1695.0,silence,0.5044
1695.0,1705.0,other,0.5898
1705.0,1715.0,silence,0.5724
1715.0,1720.0,other,0.5151
1720.0,1740.0,silence,0.615
1740.0,1745.0,other,0.5779
1745.0,1750.0,silence,0.4949
1750.0,1760.0,other,0.6115
1760.0,1775.0,silence,0.6473
1775.0,1780.0,other,0.5356
1780.0,1795.0,silence,0.5805
1795.0,1800.0,other,0.616
1800.0,1805.0,silence,0.5745
1805.0,1810.0,other,0.5286
1810.0,1815.0,silence,0.7412
1815.0,1850.0,other,0.6164
1850.0,1855.0,silence,0.5325
1855.0,1860.0,other,0.6112
1860.0,1865.0,silence,0.5089
1865.0,1870.0,other,0.6279
1870.0,1905.0,silence,0.6302
1905.0,1925.0,other,0.5898
1925.0,1950.0,silence,0.6181
1950.0,1955.0,other,0.6403
1955.0,1960.0,silence,0.7114
1960.0,1965.0,other,0.6215
1965.0,2005.0,silence,0.6203
2005.0,2015.0,other,0.5422
2015.0,2035.0,silence,0.6163
2035.0,2050.0,other,0.6061
2050.0,2055.0,silence,0.705
2055.0,2080.0,other,0.5614
2080.0,2090.0,silence,0.6604
2090.0,2095.0,other,0.5174
2095.0,2100.0,silence,0.6468
2100.0,2110.0,other,0.5585
2110.0,2115.0,silence,0.6822
2115.0,2125.0,other,0.6147
2125.0,2130.0,silence,0.5012
2130.0,2135.0,other,0.595
2135.0,2145.0,silence,0.7067
2145.0,2160.0,other,0.5488
2160.0,2175.0,silence,0.538
2175.0,2185.0,other,0.5292
2185.0,2215.0,silence,0.5961
2215.0,2220.0,other,0.4982
2220.0,2260.0,silence,0.6442
2260.0,2265.0,other,0.5355
2265.0,2275.0,silence,0.5328
2275.0,2280.0,other,0.6526
2280.0,2285.0,silence,0.7724
2285.0,2290.0,other,0.5692
2290.0,2295.0,silence,0.7172
2295.0,2305.0,other,0.5184
2305.0,2310.0,silence,0.5083
2310.0,2315.0,other,0.6229
2315.0,2325.0,silence,0.5657
2325.0,2335.0,other,0.6575
2335.0,2355.0,silence,0.5252
2355.0,2365.0,other,0.5979
2365.0,2380.0,silence,0.6177
2380.0,2385.0,other,0.7236
2385.0,2400.0,silence,0.6035
2400.0,2405.0,other,0.5244
2405.0,2410.0,silence,0.5186
2410.0,2420.0,other,0.5208
2420.0,2435.0,silence,0.6235
2435.0,2445.0,other,0.5588
2445.0,2490.0,silence,0.5783
2490.0,2495.0,other,0.4922
2495.0,2520.0,silence,0.5772
2520.0,2525.0,other,0.5441
2525.0,2530.0,silence,0.7709
2530.0,2535.0,other,0.5575
2535.0,2540.0,silence,0.7205
2540.0,2545.0,other,0.5418
2545.0,2550.0,silence,0.5576
2550.0,2555.0,other,0.5531
2555.0,2595.0,silence,0.6342
