start_s,end_s,label
1282.273,1282.322,vocal
1284.36,1284.415,vocal
1284.582,1284.608,vocal
1284.899,1284.952,vocal
1286.121,1286.178,vocal
1286.435,1286.499,vocal
1286.532,1286.556,vocal
1286.819,1286.872,vocal
1287.196,1287.246,vocal
1288.025,1288.07,vocal
1288.376,1288.428,vocal
1288.832,1288.861,vocal
1289.536,1289.588,vocal
1289.89,1289.985,vocal
1290.242,1290.292,vocal
1291.267,1291.305,vocal
1291.591,1291.634,vocal
1292.363,1292.425,vocal
1292.677,1292.724,vocal
1293.04,1293.075,vocal
1293.554,1293.62,vocal
1294.847,1294.888,vocal
1295.121,1295.213,vocal
1295.473,1295.529,vocal
1295.549,1295.603,vocal
1296.519,1296.548,vocal
1296.832,1296.892,vocal
